time,method,background
0.919389,normal,busy
1.794775,normal,busy
1.892296,normal,busy
2.296562,normal,busy
1.105794,normal,busy
1.087139,normal,clean
0.922674,normal,clean
1.761333,normal,clean
0.939177,normal,clean
0.939921,normal,clean
0.955631,size,busy
1.66021,size,busy
0.867251,size,busy
0.669944,size,busy
0.837657,size,busy
0.888725,size,clean
0.675587,size,clean
0.484794,size,clean
0.936205,size,clean
0.721347,size,clean
1.07295,colour,busy
0.919343,colour,busy
1.776449,colour,busy
1.073189,colour,busy
1.288799,colour,busy
0.838669,colour,clean
0.708239,colour,clean
1.942685,colour,clean
1.407139,colour,clean
0.889597,colour,clean
